,algorithm,params,train_acc,train_f1,train_time,val_acc,val_f1,val_time,test_acc,test_f1,test_time
22,MLPClassifier(),"{'alpha': 0.0001, 'random_state': 42}",0.9986149584487535,0.996995676705503,163.64888215065002,0.8877985339323717,0.7667731629392972,0.24482250213623047,0.891463703003074,0.7764247442766682,0.1302194595336914
23,MLPClassifier(),"{'alpha': 0.001, 'random_state': 42}",0.9982095804337545,0.996114654350854,165.56715869903564,0.8873256088909908,0.7652131066765212,0.2440638542175293,0.8976117285410262,0.7859614434008897,0.13863277435302734
24,MLPClassifier(),"{'alpha': 0.01, 'random_state': 42}",0.9804405107762989,0.9591476751569886,139.67566967010498,0.866871600851265,0.741861531407611,0.2483205795288086,0.8815322771340742,0.7681628875520593,0.1368577480316162
10,KNeighborsClassifier(),{'n_neighbors': 3},0.9071008715627322,0.8300790904597133,54.55829429626465,0.7925041380941121,0.6503287507471609,14.746994972229004,0.7940411444786002,0.652572796170722,7.495991468429565
11,KNeighborsClassifier(),{'n_neighbors': 5},0.8501790419566245,0.7484544268617777,69.76257681846619,0.7650744856940175,0.6250235893564824,19.27423596382141,0.7668479545991961,0.6293233082706767,9.84433627128601
12,KNeighborsClassifier(),{'n_neighbors': 7},0.8135936761029661,0.7021161736126106,69.48535346984863,0.7482856467249941,0.6104300091491307,19.28211283683777,0.747221565381887,0.6085682900036616,9.732732057571411
15,DecisionTreeClassifier(),"{'max_depth': 6, 'random_state': 42}",0.7332612661306669,0.5838515863813639,3.8028054237365723,0.7175455190352329,0.565399308713844,0.13028478622436523,0.731142113974935,0.5771662328002976,0.06702518463134766
21,AdaBoostClassifier(),"{'n_estimators': 50, 'random_state': 42}",0.7430241199918924,0.572135665672985,27.661561250686646,0.7324426578387325,0.5625362458921322,0.8715827465057373,0.7455663277370537,0.5790297339593115,0.3808138370513916
20,AdaBoostClassifier(),"{'n_estimators': 30, 'random_state': 42}",0.7325518546044186,0.5656443737312777,17.57836079597473,0.7246393946559471,0.5569716568385011,0.559196949005127,0.739654764719792,0.5763755290496344,0.26313138008117676
9,LinearSVC(),"{'C': 1.0, 'class_weight': 'balanced', 'random_state': 42}",0.7157624484832106,0.5577165685449958,17.14606022834778,0.7024119177110428,0.5407772304324029,0.10672545433044434,0.7209742255852447,0.5606850335070738,0.06319761276245117
8,LinearSVC(),"{'C': 0.1, 'class_weight': 'balanced', 'random_state': 42}",0.7152557259644619,0.5569513797634691,16.38804578781128,0.7013478363679356,0.5395552314983595,0.10576367378234863,0.7214471506266257,0.5614296351451973,0.061527252197265625
14,DecisionTreeClassifier(),"{'max_depth': 5, 'random_state': 42}",0.7075197621782312,0.5565457897971727,3.8215832710266113,0.6968550484748167,0.544582593250444,0.1317274570465088,0.706550011823126,0.5521472392638036,0.06798720359802246
2,LogisticRegression(),"{'C': 1.0, 'class_weight': 'balanced', 'random_state': 42}",0.718802783595703,0.5561953508210705,5.352111577987671,0.7022936864506976,0.5354243542435424,0.21097302436828613,0.7247576259162922,0.560754716981132,0.11631441116333008
1,LogisticRegression(),"{'C': 0.1, 'class_weight': 'balanced', 'random_state': 42}",0.7165056415107087,0.5561197503438062,5.313368320465088,0.7064317805627808,0.5441527446300716,0.21519064903259277,0.7240482383542208,0.5624296962879639,0.12249207496643066
6,LinearDiscriminantAnalysis(),,0.7140395919194649,0.5556663692194634,6.2067790031433105,0.7014660676282809,0.5406585410223758,0.2619762420654297,0.715062662567983,0.5551864156515319,0.11632680892944336
7,LinearSVC(),"{'C': 0.01, 'class_weight': 'balanced', 'random_state': 42}",0.7129923653807175,0.5540625656099097,12.51523733139038,0.7024119177110428,0.5404418477268578,0.10790300369262695,0.7169543627335068,0.5568308034061459,0.06438088417053223
0,LogisticRegression(),"{'C': 0.01, 'class_weight': 'balanced', 'random_state': 42}",0.7082967367069792,0.5494860958939846,5.6305975914001465,0.6998108299834476,0.5384475549900019,0.21532034873962402,0.7152991250886734,0.5560471976401181,0.12253546714782715
13,DecisionTreeClassifier(),"{'max_depth': 4, 'random_state': 42}",0.6976555638132559,0.5467436442823863,3.5236001014709473,0.6881059352092693,0.5371929824561403,0.13050317764282227,0.6978008985575787,0.5442225392296719,0.0639200210571289
19,AdaBoostClassifier(),"{'n_estimators': 10, 'random_state': 42}",0.705999594621985,0.5365074293018054,7.566134691238403,0.703003074012769,0.5353311135775065,0.27670812606811523,0.7162449751714354,0.5529061102831595,0.1248939037322998
18,RandomForestClassifier(),"{'max_depth': 6, 'random_state': 42}",0.684784811837038,0.5333800070010501,7.971421003341675,0.6771104279971625,0.5239672302597176,0.3015742301940918,0.6885788602506503,0.5328130542745654,0.16566181182861328
17,RandomForestClassifier(),"{'max_depth': 5, 'random_state': 42}",0.6771164110533072,0.5223865680591645,7.543304443359375,0.6714353275005912,0.5176184690157959,0.3334219455718994,0.6855048474816742,0.5283687943262411,0.15991616249084473
3,Perceptron(),"{'alpha': 0.01, 'class_weight': 'balanced'}",0.7153908519694615,0.5218230319541405,3.1222310066223145,0.7141168124852211,0.5242030696576151,0.1050863265991211,0.7124615748403877,0.5223880597014926,0.06322455406188965
